Retailer Name,Location,City,State,Country,Region,Activity Start Date,Activity End Date,Brand Model #,Brand Name,Category,Trademark,Three Files,Piano Sound,Distributor,Country of Origin,Manufacture Date,Price,Evidence
White Mart,White Mart 31/1036 B Above White Mart Showroom Subash Chandra Bose Road Chettichira Vyttila Ernakulam Kerala 682019,Ernakulam,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,JM32 SMP2,NVY,DMT,No,Yes,No,Reach Distributors (India) Pvt. Ltd.,India,,12990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c5fc
White Mart,White Mart 31/1036 B Above White Mart Showroom Subash Chandra Bose Road Chettichira Vyttila Ernakulam Kerala 682019,Ernakulam,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,L32H210MS,LLOYD,DMT,No,Yes,No,Havells India Ltd. ,India,,17990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c5fa
White Mart,White Mart 31/1036 B Above White Mart Showroom Subash Chandra Bose Road Chettichira Vyttila Ernakulam Kerala 682019,Ernakulam,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,Lanz 32,Lanz,DMT,No,Yes,No,,,,7990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c5fe
White Mart,White Mart 31/1036 B Above White Mart Showroom Subash Chandra Bose Road Chettichira Vyttila Ernakulam Kerala 682019,Ernakulam,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,Platina 43,IMPEX,DMT,No,Yes,No,KCM Appliances Pvt. Ltd. ,India,September 2018,24990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c5fd
Croma,"Ward no 63, HM Vibha Towers, First Floor, H.M Tower, Koramangala, Bangalore, Karnataka 560029",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,43PL,VU,DMT,Yes,Yes,Holiday 2,VU Technologies Pvt Ltd.,China,,25000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2b1
Croma,"Ward no 63, HM Vibha Towers, First Floor, H.M Tower, Koramangala, Bangalore, Karnataka 560029",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,49S6500,TCL ,DMT,Yes,No,Holiday 2,TCL King Electrical Appliances Huizhou Co Ltd,China,March 2019,29990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2b3
Croma,"Ward no 63, HM Vibha Towers, First Floor, H.M Tower, Koramangala, Bangalore, Karnataka 560029",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,43UM7300,LG,DMT,No,Yes,Holiday 2,LG ELECTRONICS INDIA PVT LTD,India,,,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2b2
Croma,"Ward no 63, HM Vibha Towers, First Floor, H.M Tower, Koramangala, Bangalore, Karnataka 560029",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,CREL 7345,CROMA,DMT,No,Yes,Holiday 2,Veira Electronics Private Limited,India,,22530,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2ae
Croma,"Ward no 63, HM Vibha Towers, First Floor, H.M Tower, Koramangala, Bangalore, Karnataka 560029",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,CREL 7346,CROMA,DMT,No,Yes,Holiday 2,Veira Electronics Private Limited,India,June 2019,39994,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2b4
Croma,"Ward no 63, HM Vibha Towers, First Floor, H.M Tower, Koramangala, Bangalore, Karnataka 560029",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,CREL 7318,CROMA,DMT,No,No,No,Veira Electronics Private Limited,India,August 2019,20000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2b5
Eham Digital,"Unit# GF - 19, Kazhakootam - Kovalam Bypass Rd, Chacka, Thiruvananthapuram, Kerala 695024, India",Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32OA,VU,DMT,Yes,Yes,Both,VU Technologies Pvt Ltd.,China,,19000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245ce98
Eham Digital,"Unit# GF - 19, Kazhakootam - Kovalam Bypass Rd, Chacka, Thiruvananthapuram, Kerala 695024, India",Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,40PL,VU,DMT,Yes,Yes,Both,HISENSE INTERNATIONAL CO. LTD,China,,20500,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245ce97
Eham Digital,"Unit# GF - 19, Kazhakootam - Kovalam Bypass Rd, Chacka, Thiruvananthapuram, Kerala 695024, India",Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,43UH,VU,DMT,No,No,No,HISENSE INTERNATIONAL CO. LTD,China,,36000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245ce96
Eham Digital,"Unit# GF - 19, Kazhakootam - Kovalam Bypass Rd, Chacka, Thiruvananthapuram, Kerala 695024, India",Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,Zigma X32,Nestron,DMT,No,No,No,MPS Trading Corporation,India,,8990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245ce9e
Eham Digital,"Unit# GF - 19, Kazhakootam - Kovalam Bypass Rd, Chacka, Thiruvananthapuram, Kerala 695024, India",Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LED-3225,Intex,DMT,No,No,No,Intex Technologies (India) Ltd.,India,,9490,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245ce9c
