"Category","Models","Piano Played","Dolby Logo"
"TCL King Electrical Appliances Huizhou Co Ltd : TCL ",37,37,24
"LG ELECTRONICS INDIA PVT LTD : LG",36,36,12
"Havells India Ltd.  : LLOYD",31,9,1
"Mirc Electronics Ltd : ONIDA",30,7,1
"Competition Team Technology (India) Private Limited : SONY",28,28,2
"Mirc Electronics Ltd : TCL ",28,27,19
"Haier Appliances (India) Pvt. Ltd : Haier",24,14,4
"Dixon Technologies (India) Ltd : RECONNECT",17,5,0
"SHARP MANUFACTURING CORPORATION (M) SDN. BHD. : SHARP",16,9,3
"VU Technologies Pvt Ltd. : VU",16,15,11
"BHAGWATI PRODUCTS LIMITED : MICROMAX",14,1,0
"HISENSE INTERNATIONAL CO. LTD : VU",13,10,8
"Veira Electronics Private Limited : CROMA",13,8,3
"Dixon Technologies (India) Ltd : PANASONIC ",12,0,0
"Intex Technologies (India) Ltd. : Intex",11,2,0
"OVOT Pvt. Ltd. : AMSTRAD",10,7,0
"KCM Appliances Pvt. Ltd.  : IMPEX",9,1,0
"PANASONIC AVC NETWORKS INDIA CO.LTD. : PANASONIC ",9,5,0
"TCL Overseas Electronics (Huizhou) Co., Ltd. : Mi",9,5,0
"Jinpin Electrical Co., Ltd. : IMPEX",8,2,3
"K-Tronics ( SUZHOU) Technology Co., Ltd : LLOYD",8,3,0
"No distributor : TCL ",8,6,5
"Skyquad Electronics & Appliances Pvt. Ltd. : SKYWORTH",8,3,0
"SHENZHEN MTC CO LTD : Haier",7,5,0
"SONY EMCS (MALAYSIA) SDN BHD : SONY",7,7,1
"Dixon Technologies (India) Ltd : Samsung",6,6,0
"No distributor : PANASONIC ",6,4,0
"Malhotra Electronics Pvt Ltd : Panorama",5,5,0
"PT. SHARP ELECTRONICS INDONESIA : SHARP",5,4,0
"Reach Distributors (India) Pvt. Ltd. : NVY",5,0,0
"Skyquad Electronics & Appliances Pvt. Ltd. : METZ",5,3,2
"Dixon Technologies (India) Ltd : SKYWORTH",4,3,0
"HKC CORPORATION LIMITED : Haier",4,4,0
"Malhotra Electronics Pvt Ltd : Detel",4,0,0
"No distributor : Crown",4,0,0
"No distributor : Gigil",4,0,0
"No distributor : Videocon",4,0,0
"OSCAR INDIA ELECTRONICS PRIVATE LIMITED : Oscar",4,0,0
"Panasonic India Pvt. Ltd : PANASONIC ",4,4,0
"Radiant Appliances And Electronics Private Limited : SKYWORTH",4,1,0
"Dixon Technologies (India) Ltd : Akai",3,0,0
"K-Tronics ( SUZHOU) Technology Co., Ltd : KORYO",3,2,0
